event_id,room_id
E:96XCWW2M9V,0335_01_1.9
E:XT1KZOCGA6,0228_-1_LG.10
E:NB1S2PULQP,0201_00_G.05
E:QGLQZOQGIF,0113_00_G.205
E:Y2SNRCC5RT,LectureTheatre_ChambersStreetMuseum
E:BL11YDBTOH,0227_00_G.03
E:SY5JC9VI2Z,0252_01_1.2
E:FG39BZUGGR,0251_01_1.01
E:NABDT4QRFR,0252_01_1.2
E:AE63FPRPRF,0226_-1_LG.11
E:N7Q98O9PWQ,0616_02_02.02-E
E:WXYD62TFKD,0300_00_NG.02
E:V6NXXE8U85,0226_-1_LG.11
E:YO1HJRQDYA,0226_01_1.12
E:FZAVNXQKS8,0226_01_1.07
E:4BQTRUC7RH,0551_-1_LG45
E:VMDGHOACW3,0335_02_2.2
E:76JQWDU9EZ,0103_01_1.B04
E:6NNNGFHDL7,0226_-1_LG.18
E:C6DG51GCBN,0201_00_G.05
E:64QFP5XCLN,0003_01_1.01
E:HG8QHQ8GZV,0226_-1_LG.14
E:5XTJ1AK2O1,0226_-1_LG.10
E:VI5X3CA9JQ,0226_-1_LG.19
E:76TU2C3XTK,0226_-1_LG.19
E:81A6HRQKBX,0551_00_G1
E:BT1DEWFUMG,0003_00_G.01
E:9VLC1Y72DW,0254_01_1.07
E:3ATFL2BEQV,0226_00_GF.14
E:APM2M8UCB2,0227_00_G.03
E:6NHWP9OMEF,0131_04_4.07
E:N9V1RDYI7V,0001_00_G.159
E:4731HA5XUZ,0227_00_G.05
E:5TAKAOI36Q,0003_01_1.05
E:SZR6U5ZDL7,0201_00_G.05
E:XV4OBV8ARH,0226_-1_LG.19
E:T7NW9NU2R7,0008_02_2.365
E:IT6GQHICU1,0226_-1_LG.18
E:K1LAFFSPL6,0335_02_2.1
E:NM7Y8JAB8Y,0113_01M_01M.20
E:EBCT2AABHB,0226_-1_LG.18
E:KWZSQI1QFR,0450_03_3.62
E:2R9N1B6AZQ,0226_-1_LG.18
E:3Z5U4ZLBIM,0226_01_1.12
E:8HLZEZ5B49,0335_02_2.2
E:6B12X6EAZE,0335_01_1.2
E:G18PKMB4H3,0003_01_1.04
E:AARCNYGD1Y,0226_-1_LG.14
E:HM8FLCOMT6,0252_01_1.2
