description,capacity,building,building_1,campus,central_local,room_type,specialist_room_type,has_a_24_5_event,room_id,capacity_source
"Auditorium A, Shirley Hall (GU108) - No Food or Drink",262.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,General Teaching,Yes,2701_00_GU108,rooms_table
Auditorium B (GU216) - No Food or Drink,150.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,General Teaching,Yes,2701_00_GU216,rooms_table
Micro Lab 1 (GU302),20.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,2701_00_GU302,rooms_table
Micro Lab 2 (GU303),20.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,2701_00_GU303,rooms_table
Undergraduate Medical Teaching Room (GU318),96.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,General Teaching,Yes,2701_00_GU318,rooms_table
Seminar Room 2 (GU322/3),48.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,General Teaching,Yes,2701_00_GU322,rooms_table
Seminar Room 5 (FU222),22.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,General Teaching,Yes,2701_01_FU222,rooms_table
Seminar Room 4 (FU223),22.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,General Teaching,Yes,2701_01_FU223,rooms_table
Seminar Room 3 (FU224),22.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,General Teaching,Yes,2701_01_FU224,rooms_table
Resus Room (FU307) - Clinical Skills Centre,20.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,Teaching Lab,Yes,2701_01_FU307,rooms_table
Skills Lab (FU308) - Clinical Skills Centre,20.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,Teaching Lab,Yes,2701_01_FU308,rooms_table
Debrief Room (FU309) - Clinical Skills Centre,1.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,Meeting Room,Yes,2701_01_FU309,rooms_table
SimMan Room (FU313) - Clinical Skills Centre,12.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,Teaching Lab,Yes,2701_01_FU313,rooms_table
Simulation Ward (FU321/2) - Clinical Skills Centre,42.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,Teaching Lab,Yes,2701_01_FU321,rooms_table
Simulation Assessment Area (FU323) - Clinical Skills Centre,22.0,2701,Chancellor's Building,Bioquarter,Locally Allocated Space,Specialist Room,Laboratory,Yes,2701_01_FU323,rooms_table
Seminar Room (4-H1-003),35.0,9004,Royal Hospital for Children and Young People,Bioquarter,Locally Allocated Space,Classroom Style,General Teaching,Yes,2714_04_4-H1-003,rooms_table
Paderewski Lecture Theatre,214.0,2305,Western General Hospital,Western General,Locally Allocated Space,Specialist Room,Exhibition/Event Space,Yes,2305_04_4F/4/006,rooms_table
G.8 Gaddum LT,64.0,208,1 George Square (Neuroscience),Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0208_00_G.8,rooms_table
1 George Square Basement Labs,48.0,208,1 George Square (Neuroscience),Central,Locally Allocated Space,Specialist Room,Laboratory,Yes,0208_-1_B.1,rooms_table
Newhaven Lecture Theatre,110.0,131,13-15 South College Street,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0131_04_4.07,rooms_table
G.02 * (access at 19GSq) *,40.0,214,16-20 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0214_00_G.02,rooms_table
G.22 * (access at 19GSq) *,18.0,214,16-20 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0214_00_G.22,rooms_table
G.23 * (access at 19GSq) *,10.0,214,16-20 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0214_00_G.23,rooms_table
G.26 * (access at 19GSq),12.0,214,16-20 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0214_00_G.26,rooms_table
1.01 * (access at 19GSq) *,20.0,214,16-20 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0214_01_1.01,rooms_table
1.10 * (access at 19GSq) *,18.0,214,16-20 George Square,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0214_01_1.10,rooms_table
1.22 * (access at 19GSq) *,12.0,214,16-20 George Square,Central,Locally Allocated Space,Boardroom Style,General Teaching,Yes,0214_01_1.22,rooms_table
1.01,28.0,251,21 Buccleuch Place,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0251_01_1.01,rooms_table
1.02,28.0,251,21 Buccleuch Place,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0251_01_1.02,rooms_table
G.01,16.0,219,21 George Square,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0219_00_G.01,rooms_table
