event_id,baseline_day,timeslot,duration_minutes,event_type,module_code,room,n_students,reason
E:15VGN58T9M,Sunday,Sunday 09:30,540,Activity,COL_L4A_2024/5,0551_00_G30,,non_teaching_day
E:1HRAODGOTJ,Saturday,Saturday 08:00,945,External Visit,BILG09017_SS1_SEM2_2024/5,,53.0,non_teaching_day
E:1MNQGVGZTW,Thursday,Thursday 00:30,1370,Fieldwork,GEGR09019_SS1_SEM2_2024/5,,31.0,duration_exceeds_teaching_day
E:1MNQGVGZTW-00001,Friday,Friday 00:30,1370,Fieldwork,GEGR09019_SS1_SEM2_2024/5,,31.0,duration_exceeds_teaching_day
E:1MNQGVGZTW-00002,Saturday,Saturday 00:30,1370,Fieldwork,GEGR09019_SS1_SEM2_2024/5,,31.0,non_teaching_day
E:1MNQGVGZTW-00003,Sunday,Sunday 00:30,1370,Fieldwork,GEGR09019_SS1_SEM2_2024/5,,31.0,non_teaching_day
E:2RNSFIFVFE,Sunday,Sunday 09:30,540,Activity,COL_L4A_2024/5,0551_00_G42,,non_teaching_day
E:2RNSFIFVFE-00001,Friday,Friday 14:00,589,Activity,COL_L4A_2024/5,0551_00_G42,,duration_exceeds_teaching_day
E:2RNSFIFVFE-00002,Saturday,Saturday 00:00,1410,Activity,COL_L4A_2024/5,0551_00_G42,,non_teaching_day
E:2RNSFIFVFE-00003,Sunday,Sunday 00:00,570,Activity,COL_L4A_2024/5,0551_00_G42,,non_teaching_day
E:4SAHVIJVD9,Saturday,Saturday 09:30,240,Lecture,EDUA11432_SS1_YR_2024/5,0551_01_1.18,18.0,non_teaching_day
E:4SAHVIJVD9-00001,Saturday,Saturday 09:30,240,Lecture,EDUA11432_SS1_YR_2024/5,0551_01_1.18,18.0,non_teaching_day
E:4SAHVIJVD9-00002,Saturday,Saturday 09:30,240,Lecture,EDUA11432_SS1_YR_2024/5,0551_01_1.18,18.0,non_teaching_day
E:4VPBVLW2K3,Tuesday,Tuesday 08:00,600,Workshop,MBCH11010_SS1_YR_2024/5,2701_00_GU322,,duration_exceeds_teaching_day
E:5P456TL7H1,Sunday,Sunday 09:30,540,Activity,COL_L4A_2024/5,0551_00_G38,,non_teaching_day
E:61LY4VACOD-00001,Tuesday,Tuesday 10:00,600,Other,EDUA08045_SS1_YR_2024/5,0551_01_1.18,3.0,duration_exceeds_teaching_day
E:61LY4VACOD-00001-00001,Tuesday,Tuesday 10:00,600,Other,EDUA08045_SS1_YR_2024/5,0551_01_1.26,3.0,duration_exceeds_teaching_day
E:61LY4VACOD-00001-00002,Tuesday,Tuesday 10:00,600,Other,EDUA08045_SS1_YR_2024/5,0551_01_1.19,3.0,duration_exceeds_teaching_day
E:61LY4VACOD-00001-00003,Tuesday,Tuesday 10:00,600,Other,EDUA08045_SS1_YR_2024/5,0551_01_1.21,3.0,duration_exceeds_teaching_day
E:61LY4VACOD-00001-00004,Tuesday,Tuesday 10:00,600,Other,EDUA08045_SS1_YR_2024/5,0551_00_G21,3.0,duration_exceeds_teaching_day
