programme,scheduled_event_count,scenario
AHSS Cert (HE) International Foundation Programme - UCAS Entry (Year 1),20,S0
Academic Practice (Higher Education) (ICL) (PgCert) - 1-3 Years (Year 3),9,S0
Accounting (PhD with Integrated Study) (Year 1),3,S0
Accounting and Business MA (Hons) (Year 1),11,S0
Accounting and Business MA (Hons) (Year 2),26,S0
Accounting and Business MA (Hons) (Year 3),19,S0
Accounting and Business MA (Hons) (Year 4),19,S0
Accounting and Finance (MA Hons) (Year 1),44,S0
Accounting and Finance (MA Hons) (Year 2),33,S0
Accounting and Finance (MA Hons) (Year 3),25,S0
Accounting and Finance (MA Hons) (Year 4),28,S0
Accounting and Finance (MSc) (Year 1),6,S0
Acoustics and Music Technology (MSc) (Full-time) (Year 1),13,S0
Acoustics and Music Technology (MSc) (Part-time) (Year 2),4,S0
Acoustics and Music Technology BSc (Hons) (Year 1),18,S0
Acoustics and Music Technology BSc (Hons) (Year 2),33,S0
Acoustics and Music Technology BSc (Hons) (Year 3),11,S0
Acoustics and Music Technology BSc (Hons) (Year 4),24,S0
Advanced Care (PhD with Integrated Study) - 4 Years (Full-time) (Year 1),16,S0
Advanced Chemical Engineering (MSc) - 1 Year (Full-time) (Year 1),7,S0
Advanced Nursing (Clinical Research) (MSc) - 1 Year (Full-time) (Year 1),11,S0
Advanced Nursing (Education) (MSc) - 1 Year (Full-time) (Year 1),9,S0
Advanced Nursing (Leadership) (MSc) - 1 Year (Full-time) (Year 1),8,S0
Advanced Nursing (MSc) - 1 Year (Full-time) (Year 1),19,S0
Advanced Nursing (MSc) - 2 Years (Part-time) (Year 2),5,S0
Advanced Nursing (MSc) - 3 Years (Part-time) (Year 3),5,S0
Advanced Power Engineering (MSc) - 2 Years (Full-time) (Year 1),10,S0
Advanced Social Work Studies (Mental Health Officer Award) (PgCert) - 9 Months (Full-time) (Year 1),1,S0
Advanced Sustainable Design (On Campus) (MSc) (Year 1),5,S0
Advanced Technology for Financial Computing (MSc) - 1 Year (Full-Time) (Year 1),25,S0
Advanced Technology for Financial Computing (MSc) - 1 Year (Full-Time) (Year 2),13,S0
Africa and International Development (MSc) (Part-time) (Year 2),1,S0
Agriculture and Food Security (MScR) - 1 year (Full-time) (Year 3),5,S0
Algebra and Number Theory (PhD) (Full-time) (Year 2),2,S0
American History (MSc) (Full-time) (Year 1),3,S0
"Anaesthesia, Critical Care and Pain Medicine (BMedSci) (Hons) (Year 3)",11,S0
Analytical Chemistry (MSc) (Year 1),17,S0
Anatomy and Development (BMedSci) - 1 Year (Full-time) (Year 3),35,S0
Anatomy and Development BSc (Hons) (Year 1),11,S0
Anatomy and Development BSc (Hons) (Year 2),18,S0
Anatomy and Development BSc (Hons) (Year 3),38,S0
Anatomy and Development BSc (Hons) (Year 4),23,S0
Ancient History (MA Hons) (Year 1),32,S0
Ancient History (MA Hons) (Year 2),51,S0
Ancient History (MA Hons) (Year 3),30,S0
Ancient History (MA Hons) (Year 4),21,S0
Ancient History (MSc) - 1 Year (Full-time) (Year 1),11,S0
Ancient History (MSc) - 2 Years (Part-time) (Year 2),1,S0
Ancient History and Latin (MA Hons) (Year 2),14,S0
Ancient History and Latin (MA Hons) (Year 4),4,S0
Ancient Mediterranean Civilisations (MA Hons) (Year 2),11,S0
Ancient Mediterranean Civilisations (MA Hons) (Year 3),6,S0
Ancient Mediterranean Civilisations (MA Hons) (Year 4),9,S0
Ancient and Medieval History (MA Hons) (Year 1),17,S0
Ancient and Medieval History (MA Hons) (Year 2),29,S0
Ancient and Medieval History (MA Hons) (Year 3),35,S0
Ancient and Medieval History (MA Hons) (Year 4),20,S0
Animal Breeding and Genetics (MSc) (Full-time) (Year 1),9,S0
Animal Breeding and Genetics (MSc) (Full-time) (Year 2),9,S0
Animation (BA Hons) (Year 1),9,S0
Animation (BA Hons) (Year 2),12,S0
Animation (BA Hons) (Year 3),9,S0
Animation (BA Hons) (Year 4),3,S0
Anthropology and Sociology of Medicine (BMedSci Hons) - 1 Year (Intercalation) (Year 1),4,S0
Anthropology and Sociology of Medicine (BMedSci Hons) - 1 Year (Intercalation) (Year 3),7,S0
Applied Animal Behaviour and Animal Welfare (MSc) (Full-time) (Year 1),16,S0
Applied Animal Behaviour and Animal Welfare (MSc) (Part-time) - 2 Years (Year 2),9,S0
Applied Environmental Hydrogeology (MSc) - 1 Year (Full-Time) (Year 1),13,S0
Applied Linguistics (MSc) (Full-time) (Year 1),16,S0
Applied Mathematics (BSc Hons) (Year 1),45,S0
Applied Mathematics (BSc Hons) (Year 2),76,S0
Applied Mathematics (BSc Hons) (Year 3),9,S0
Applied Mathematics (BSc Hons) (Year 4),53,S0
Applied Mathematics (MMath) (Year 1),4,S0
Applied Mathematics (MMath) (Year 3),6,S0
Applied Mathematics (MMath) (Year 4),10,S0
Applied Mathematics (MMath) (Year 5),4,S0
Applied Sport Science (BSc Hons) (Year 1),49,S0
Applied Sport Science (BSc Hons) (Year 2),77,S0
Applied Sport Science (BSc Hons) (Year 3),15,S0
Applied Sport Science (BSc Hons) (Year 4),31,S0
Applied and Computational Mathematics (PhD) (Full-time) (Year 1),1,S0
Applied and Computational Mathematics (PhD) (Full-time) (Year 2),8,S0
Applied and Computational Mathematics (PhD) (Full-time) (Year 3),4,S0
Arabic and Ancient Greek (MA Hons) (Year 1),4,S0
Arabic and Ancient Greek (MA Hons) (Year 2),15,S0
Arabic and Business MA (Hons) (Year 1),9,S0
Arabic and Business MA (Hons) (Year 2),14,S0
