scenario,student_id,programme,n_scheduled_events,clash_count,has_clash,days_considered,free_lunch_days,has_majority_lunch
S1,Student00002,Counselling Studies (PhD) (Part-time) (Year 1),1,0,0,1,1,1
S1,Student00004,English Literature and Classics (MA Hons) (Year 2),12,2,1,5,3,1
S1,Student00006,Medical Law and Ethics (LLM) (Full-time) (Year 1),2,0,0,2,2,1
S1,Student00007,Climate Change Finance & Investment (MSc) - 1 Year (Full-Time) (Year 1),6,0,0,5,4,1
S1,Student00012,Natural Language Processing (PhD with Integrated Study) - 4 Years (Full-Time) (Year 2),2,0,0,1,0,0
S1,Student00013,Professional Legal Practice (PgDip) (Full-time) (Year 1),18,20,1,5,3,1
S1,Student00014,Mental Health in Children and Young People: Psychological Approaches (Online Learning)(ICL)(MSc) 2-4 Years (Year 1),1,0,0,1,1,1
S1,Student00016,Mental Health in Children and Young People: Psychological Approaches (Online Learning) (ICL) (MSc) - 2-6 Years (Year 3),1,0,0,1,1,1
S1,Student00020,Psychological Therapies (ICL) (MSc) - 2-6 Years (Year 2),1,0,0,1,1,1
S1,Student00023,Law (LLB Ord) (Graduate Entry) (Year 2),4,1,1,2,1,0
S1,Student00026,Clinical Psychology - Full Time (ESRC) (PhD) (Year 2),1,0,0,1,1,1
S1,Student00031,Primary Education PGDE (Year 1),15,3,1,4,0,0
S1,Student00032,Soils and Sustainability (SAC) (MSc) (Full-time) (Year 1),1,0,0,1,1,1
S1,Student00035,Data and Artificial Intelligence Ethics (Fusion On-Site)(Part-time) - 2 Years (MSc) (Year 1),3,1,1,1,0,0
S1,Student00037,Secondary Education PGDE (History) (Year 1),5,0,0,3,2,1
S1,Student00040,Music (Joint with University of Bologna) (UNA Europa) (PhD) (Year 3),3,0,0,3,2,1
S1,Student00043,Social Policy with Quantitative Methods (MA Hons) (Full-time) (Year 4),5,1,1,3,2,1
S1,Student00044,Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 3),1,0,0,1,1,1
S1,Student00046,Counselling (PgDip) - 3 Years (Part-time) (Year 3),2,1,1,1,1,1
S1,Student00047,Social Work (BSc Hons) (Year 4),9,4,1,4,3,1
S1,Student00048,Professional Legal Practice (PgDip) (Part-time) (Year 1),14,15,1,4,3,1
S1,Student00050,Secondary Education PGDE (Biology) (Year 1),6,1,1,3,1,0
S1,Student00051,Counselling (PgDip) - 3 Years (Part-time) (Year 1),19,72,1,1,0,0
S1,Student00052,Professional Legal Practice (PgDip) (Full-time) (Year 1),16,19,1,4,2,0
S1,Student00055,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00056,Public Policy (MSc) - 2 Years (Part-time) (Year 1),1,0,0,1,1,1
S1,Student00057,Secondary Education PGDE (Geography) (Year 1),4,0,0,2,1,0
S1,Student00059,Primary Education PGDE (Year 1),22,13,1,4,1,0
S1,Student00062,Primary Education PGDE (Year 1),16,7,1,4,0,0
S1,Student00063,Social Work (MSW) (Year 2),9,2,1,4,1,0
S1,Student00065,Primary Education PGDE (Year 1),22,13,1,4,1,0
S1,Student00066,Counselling (PgDip) - 3 Years (Part-time) (Year 3),2,1,1,1,1,1
S1,Student00067,Sound Design (MSc) (Part-time) (Year 1),2,0,0,2,2,1
S1,Student00070,"Energy, Society and Sustainability (MSc) - 1 Year (Full-time) (Year 1)",2,0,0,2,2,1
S1,Student00074,Nursing with Pre-registration (Adult) (MN) (Year 1),6,1,1,4,4,1
S1,Student00079,Theology MA(Hons) (Year 3),2,0,0,2,1,0
S1,Student00080,Professional Legal Practice (PgDip) (Part-time) (Year 1),13,16,1,3,2,1
S1,Student00081,Service Management and Design (Fusion On-site) (ICL) (MSc) - 3 Years (Part-time) (Year 2),1,0,0,1,1,1
S1,Student00085,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),2,0,0,2,1,0
S1,Student00087,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00090,Psychology of Mental Health (Conversion) (ICL) (MSc) - 2-6 Years (Year 1),2,0,0,2,2,1
S1,Student00091,Counselling Studies (MSc) (Full-time) (Year 1),20,72,1,2,0,0
S1,Student00092,Academic Practice (Higher Education) (ICL) (PgCert) - 1-3 Years (Year 3),5,1,1,3,2,1
S1,Student00097,Law (LLB Hons) (Year 4),1,0,0,1,1,1
S1,Student00099,Law (LLB Ord) (Graduate Entry) (Year 1),7,0,0,4,3,1
S1,Student00100,Divinity (BD) (Honours) (Year 4),3,0,0,2,1,0
S1,Student00101,Biomedical Science (Professional Practice) (BSc Hons) (Year 1),3,0,0,1,0,0
S1,Student00102,Veterinary Medicine (Clinical) (Graduate Entry) (BVMS) (Year 3),41,44,1,5,1,0
S1,Student00104,Psychological Therapies (MSc) - 2 Years (Year 1),4,0,0,3,2,1
S1,Student00105,Archaeology and Social Anthropology (MA Hons) (Year 4),4,1,1,3,2,1
S1,Student00106,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),1,0,0,1,1,1
S1,Student00108,Earth Sciences (MEarthSci Hons) - 5 Years (Full-time) (Year 2),11,3,1,5,2,0
S1,Student00110,Law (LLB Ord) (Graduate Entry) (Year 2),19,7,1,5,0,0
S1,Student00111,Medicine (Pre-Clinical) (MBChB) (Year 1),26,15,1,5,1,0
S1,Student00112,Law (LLB Hons) (Year 4),7,4,1,3,1,0
S1,Student00114,History (PhD) (Part-time) - 6 Years (Year 1),1,0,0,1,0,0
S1,Student00115,Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 1),19,72,1,1,0,0
S1,Student00119,Medicine (Pre-Clinical) (MBChB) (Year 2),24,34,1,5,2,0
S1,Student00121,Medicine (HCP-Med) (MBChB) (Year 5),1,0,0,1,1,1
S1,Student00122,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00124,Physical Education MA (Hons) (Year 4),4,1,1,2,2,1
S1,Student00126,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00127,Medicine (HCP-Med) (MBChB) (Year 5),1,0,0,1,0,0
S1,Student00129,Sustainable Energy Systems (MSc) (Year 1),2,0,0,2,1,0
S1,Student00130,Japanese and Linguistics (MA Hons) (Year 4),12,0,0,4,1,0
S1,Student00131,Secondary Education PGDE (English) (Year 1),5,1,1,2,1,0
S1,Student00132,Divinity MDiv(Hons) (Year 3),2,0,0,1,0,0
S1,Student00133,Physics (BSc Hons) (Year 2),10,2,1,4,2,0
S1,Student00134,Childhood Practice (BA Ord) (Year 3),2,0,0,1,1,1
S1,Student00137,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00138,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 1),6,1,1,4,2,0
S1,Student00140,Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 5),2,1,1,1,1,1
S1,Student00142,Architecture (AHRC) (PhD) - 3.5 Years (Full-Time) (Year 1),1,0,0,1,1,1
S1,Student00143,Design PhD - 3 Years (Full-Time) (Year 1),2,0,0,2,1,0
S1,Student00146,Linguistics and English Language (PhD) (Full-time) (Year 2),2,0,0,2,0,0
S1,Student00147,Medicine (HCP-Med) (MBChB) (Year 4),5,2,1,2,1,0
S1,Student00148,Film Studies (MSc) (Part-time) (Year 1),5,0,0,4,2,0
S1,Student00149,Medicine (HCP-Med) (MBChB) (Year 5),1,0,0,1,0,0
S1,Student00150,Medicine (Clinical) (MBChB) (Year 5),5,0,0,3,2,1
S1,Student00153,Middle Eastern Studies (MA Hons) (Year 4),7,4,1,2,2,1
S1,Student00155,Public Health (MPH) (Part Time) (Year 1),5,0,0,4,3,1
S1,Student00156,Medicine (Clinical) (MBChB) (Year 5),5,0,0,3,2,1
S1,Student00157,Secondary Education PGDE (English) (Year 1),7,2,1,3,2,1
S1,Student00159,Sociology (MA Hons) (Year 4),1,0,0,1,1,1
S1,Student00160,Clinical Psychology (Core Programme Route) (DClinPsychol) (Full-time) (Year 2),2,0,0,2,1,0
S1,Student00161,Counselling (MCouns) (Part-time) - 4 years (Year 2),1,0,0,1,1,1
S1,Student00162,Scottish Ethnology (MA Hons) (Year 2),7,2,1,3,2,1
S1,Student00163,Medicine (HCP-Med) (MBChB) (Year 4),3,0,0,2,1,0
S1,Student00164,Electrical and Mechanical Engineering (BEng Hons) (Year 2),13,4,1,5,3,1
S1,Student00165,History of Art (MA Hons) (Year 3),3,0,0,3,2,1
S1,Student00167,English Literature (MA Hons) (Year 1),5,0,0,3,3,1
